,Symbol,Name,Exchange,Quarter,Revenue($mm),EBIT($mm),Debt($mm),Dividend Payout($mm),Operating Margin (%),Leverage (Debt/EBIT),Payout (% of EBIT)
11,HES,Hess Corp,S&P500,2019-06-30,1660.0,757.0,6511.0,-76.0,45.6,2.15,10.04
12,HFC,Hollyfrontier Corp,S&P500,2019-03-31,3897.25,522.06,2430.93,-56.85,13.4,1.16,10.89
13,KMI,Kinder Morgan,S&P500,2019-06-30,3214.0,1707.0,33005.0,-569.0,53.11,4.83,33.33
14,MPC,Marathon Petroleum Corp,S&P500,2019-03-31,28387.0,1590.0,26953.0,-354.0,5.6,4.24,22.26
15,MRO,Marathon Oil Corp,S&P500,2019-03-31,1155.0,578.0,5501.0,-41.0,50.04,2.38,7.09
16,NBL,Noble Energy Inc,S&P500,2019-03-31,1052.0,201.0,6564.0,-53.0,19.11,8.16,26.37
17,NOV,National-Oilwell,S&P500,2019-06-30,2132.0,-5578.0,2483.0,-19.0,-261.63,-0.11,-0.34
18,OKE,Oneok Inc,S&P500,2019-06-30,2457.57,643.36,10754.09,-357.33,26.18,4.18,55.54
19,OXY,Occidental Petroleum ,S&P500,2019-03-31,4142.0,1854.0,10203.0,-591.0,44.76,1.38,31.88
20,PSX,Phillips 66,S&P500,2019-06-30,27847.0,2278.0,10772.0,-406.0,8.18,1.18,17.82
21,PXD,Pioneer Natural Resources Co,S&P500,2019-03-31,2244.0,903.0,1836.0,-54.0,40.24,0.51,5.98
22,SLB,Schlumberger N.V.,S&P500,2019-06-30,8269.0,1687.0,16978.0,-693.0,20.4,2.52,41.08
23,VLO,Valero Energy Corp,S&P500,2019-06-30,28933.0,1486.0,9167.0,-376.0,5.14,1.54,25.3
24,WMB,Williams Companies,S&P500,2019-03-31,2054.0,995.0,20703.0,-460.0,48.44,5.2,46.23
25,XOM,Exxon Mobil Corp,S&P500,2019-06-30,67491.0,9479.0,19001.0,-3715.0,14.04,0.5,39.19
26,BEP,Brookfield Renewable Partners,NYSE,2019-03-31,825.0,570.0,9601.0,-100.0,69.09,4.21,17.54
27,AZRE,Azure Power,NYSE,2019-03-31,2847.2,3240.08,61658.4,0.0,113.8,4.76,-0.0
28,BLDP,Ballard Power Systems,NASDAQ,2019-03-31,16.01,-10.1,17.46,,-63.09,-0.43,
29,CSIQ,"Canadian Solar, Inc",NASDAQ,2019-03-31,484.72,-4.67,433.5,,-0.96,-23.21,
30,ENPH,Enphase Energy,NASDAQ,2019-03-31,100.15,10.22,65.41,,10.2,1.6,
31,EVA,Enviva,NYSE,2019-03-31,158.37,11.92,474.01,-19.61,7.53,9.94,164.51
32,FSLR,First Solar Holding,NASDAQ,2019-03-31,531.98,-9.83,558.36,,-1.85,-14.2,
